"GeneID";"Biotype";"Length";"Chromosome";"Location";"Exons";"Organism"
"Gene_000735";"snRNA";42810;3;"500740-513381";1;"Homo sapiens"
"Gene_000736";"rRNA";19387;4;"405041-433047";10;"Sus scrofa"
"Gene_000737";"protein_coding";27971;3;"559457-598138";12;"Homo sapiens"
"Gene_000738";"tRNA";48798;1;"992526-1017197";19;"Homo sapiens"
"Gene_000739";"lncRNA";9503;3;"312512-318532";1;"Bos taurus"
"Gene_000740";"snRNA";46574;4;"841440-856550";20;"Bos taurus"
"Gene_000741";"tRNA";964;2;"176308-191095";19;"Sus scrofa"
"Gene_000742";"protein_coding";5261;3;"51532-76223";3;"Mus musculus"
"Gene_000743";"tRNA";14994;3;"670182-711371";14;"Sus scrofa"
"Gene_000744";"protein_coding";4272;1;"206395-207263";16;"Sus scrofa"
"Gene_000745";"tRNA";3663;1;"839087-871714";6;"Sus scrofa"
"Gene_000746";"tRNA";1996;3;"335751-370161";3;"Mus musculus"
"Gene_000747";"lncRNA";47919;4;"556700-584013";18;"Bos taurus"
"Gene_000748";"tRNA";5508;2;"285426-334953";19;"Sus scrofa"
"Gene_000749";"lncRNA";3512;2;"572347-602254";18;"Mus musculus"
"Gene_000750";"rRNA";15796;5;"796660-835575";15;"Homo sapiens"
"Gene_000751";"rRNA";11714;5;"898974-945515";14;"Bos taurus"
"Gene_000752";"lncRNA";14714;2;"395225-408956";3;"Mus musculus"
"Gene_000753";"snRNA";40895;3;"78850-115771";8;"Bos taurus"
"Gene_000754";"tRNA";35961;3;"518940-538387";11;"Homo sapiens"
"Gene_000755";"lncRNA";40932;2;"690633-725139";12;"Bos taurus"
"Gene_000756";"rRNA";36659;3;"609256-645432";1;"Bos taurus"
"Gene_000757";"tRNA";34838;4;"470367-472526";1;"Sus scrofa"
"Gene_000758";"tRNA";44099;2;"477039-485439";12;"Mus musculus"
"Gene_000759";"rRNA";26060;2;"315250-323468";3;"Mus musculus"
"Gene_000760";"lncRNA";48098;1;"35445-57980";19;"Bos taurus"
"Gene_000761";"protein_coding";23766;4;"882872-930144";6;"Mus musculus"
"Gene_000762";"lncRNA";9846;2;"237886-252729";2;"Sus scrofa"
"Gene_000763";"snRNA";47141;3;"634702-669785";2;"Bos taurus"
"Gene_000764";"protein_coding";32367;1;"196218-207345";16;"Bos taurus"
"Gene_000765";"lncRNA";33601;5;"665427-686625";18;"Bos taurus"
"Gene_000766";"tRNA";34953;3;"801969-834965";15;"Sus scrofa"
"Gene_000767";"protein_coding";30087;4;"19990-45330";12;"Sus scrofa"
"Gene_000768";"snRNA";4743;1;"777530-802770";4;"Mus musculus"
"Gene_000769";"rRNA";32910;5;"70895-101249";12;"Sus scrofa"
"Gene_000770";"tRNA";43282;2;"129882-152934";3;"Homo sapiens"
"Gene_000771";"snRNA";40030;5;"187075-217483";15;"Homo sapiens"
"Gene_000772";"tRNA";1955;4;"587196-634534";11;"Homo sapiens"
"Gene_000773";"tRNA";37986;2;"410022-443808";1;"Sus scrofa"
"Gene_000774";"protein_coding";1451;2;"647358-652409";19;"Mus musculus"
"Gene_000775";"snRNA";36730;3;"188134-220316";9;"Sus scrofa"
"Gene_000776";"tRNA";38805;2;"814080-825111";11;"Bos taurus"
"Gene_000777";"protein_coding";17298;5;"854314-865812";2;"Mus musculus"
"Gene_000778";"lncRNA";43901;3;"530076-551973";20;"Homo sapiens"
"Gene_000779";"rRNA";49638;2;"842599-879536";9;"Bos taurus"
"Gene_000780";"protein_coding";15425;2;"831913-869923";20;"Sus scrofa"
"Gene_000781";"snRNA";40469;4;"780461-805080";15;"Homo sapiens"
"Gene_000782";"lncRNA";27555;2;"306770-345195";20;"Homo sapiens"
"Gene_000783";"protein_coding";21532;2;"52644-71392";12;"Mus musculus"
"Gene_000784";"tRNA";42632;3;"282702-311960";4;"Sus scrofa"
"Gene_000785";"rRNA";40209;2;"821796-839600";3;"Mus musculus"
"Gene_000786";"tRNA";7863;3;"101429-136693";14;"Homo sapiens"
"Gene_000787";"protein_coding";29547;5;"114966-152613";9;"Mus musculus"
"Gene_000788";"protein_coding";41575;5;"981819-1002697";10;"Mus musculus"
"Gene_000789";"snRNA";11457;4;"901177-907567";2;"Homo sapiens"
"Gene_000790";"lncRNA";18318;5;"972515-978333";14;"Sus scrofa"
"Gene_000791";"tRNA";33312;3;"2844-38637";20;"Homo sapiens"
"Gene_000792";"lncRNA";20503;3;"582520-624182";19;"Homo sapiens"
"Gene_000793";"snRNA";17147;2;"70478-88884";18;"Homo sapiens"
"Gene_000794";"lncRNA";45938;5;"949651-993292";10;"Bos taurus"
"Gene_000795";"rRNA";7666;1;"959995-982146";20;"Mus musculus"
"Gene_000796";"tRNA";23416;2;"437034-459586";3;"Sus scrofa"
"Gene_000797";"protein_coding";38848;1;"792104-802169";17;"Sus scrofa"
"Gene_000798";"snRNA";1561;5;"534975-577940";18;"Bos taurus"
"Gene_000799";"rRNA";5369;2;"560183-599797";17;"Homo sapiens"
"Gene_000800";"tRNA";3835;5;"158943-161473";19;"Mus musculus"
"Gene_000801";"snRNA";5984;2;"22433-64463";13;"Sus scrofa"
"Gene_000802";"rRNA";37041;5;"919865-938947";20;"Mus musculus"
"Gene_000803";"rRNA";27425;1;"475478-484732";6;"Mus musculus"
"Gene_000804";"lncRNA";4526;3;"776181-794086";2;"Bos taurus"
"Gene_000805";"tRNA";43331;2;"350977-366530";19;"Bos taurus"
"Gene_000806";"rRNA";25305;3;"909958-932805";4;"Homo sapiens"
"Gene_000807";"rRNA";30449;3;"535304-537849";16;"Bos taurus"
"Gene_000808";"protein_coding";19627;2;"709627-713061";17;"Mus musculus"
"Gene_000809";"tRNA";15812;2;"494179-538786";5;"Homo sapiens"
"Gene_000810";"rRNA";46788;5;"150222-170092";13;"Sus scrofa"
"Gene_000811";"snRNA";28719;1;"716380-742467";5;"Bos taurus"
"Gene_000812";"protein_coding";30164;4;"43815-61311";7;"Homo sapiens"
"Gene_000813";"tRNA";14270;2;"695547-703064";7;"Homo sapiens"
"Gene_000814";"snRNA";1352;3;"115347-122367";14;"Sus scrofa"
"Gene_000815";"tRNA";39768;1;"338515-378667";18;"Sus scrofa"
"Gene_000816";"lncRNA";49427;3;"628699-638123";8;"Bos taurus"
"Gene_000817";"protein_coding";9598;5;"176687-182916";20;"Homo sapiens"
"Gene_000818";"lncRNA";19655;2;"585810-590573";17;"Mus musculus"
"Gene_000819";"tRNA";46857;3;"421282-431417";9;"Mus musculus"
"Gene_000820";"protein_coding";42392;5;"380580-420499";7;"Sus scrofa"
"Gene_000821";"snRNA";6083;3;"713972-719247";9;"Homo sapiens"
"Gene_000822";"snRNA";35430;3;"286814-322928";14;"Homo sapiens"
"Gene_000823";"protein_coding";41864;1;"159223-176241";9;"Sus scrofa"
"Gene_000824";"tRNA";18733;3;"937237-982474";1;"Bos taurus"
"Gene_000825";"rRNA";4747;3;"681971-723467";14;"Bos taurus"
"Gene_000826";"tRNA";5283;1;"58601-67716";3;"Homo sapiens"
"Gene_000827";"protein_coding";46113;1;"721777-755416";18;"Mus musculus"
"Gene_000828";"protein_coding";29524;2;"80686-113096";15;"Bos taurus"
"Gene_000829";"tRNA";45103;1;"999369-1029945";13;"Homo sapiens"
"Gene_000830";"protein_coding";23827;5;"125356-172772";11;"Homo sapiens"
"Gene_000831";"rRNA";5137;3;"229367-247899";18;"Sus scrofa"
"Gene_000832";"snRNA";30748;2;"580910-587205";2;"Sus scrofa"
"Gene_000833";"rRNA";9883;2;"528644-555348";15;"Homo sapiens"
"Gene_000834";"snRNA";19043;2;"42219-72854";16;"Sus scrofa"
"Gene_000835";"tRNA";48852;4;"833949-849331";2;"Mus musculus"
"Gene_000836";"rRNA";45427;4;"43430-80925";16;"Bos taurus"
"Gene_000837";"snRNA";24560;5;"953726-981614";7;"Mus musculus"
"Gene_000838";"lncRNA";45159;2;"184752-228847";4;"Mus musculus"
"Gene_000839";"tRNA";11531;3;"143000-149424";4;"Bos taurus"
"Gene_000840";"protein_coding";42492;3;"693620-707037";12;"Bos taurus"
"Gene_000841";"tRNA";30914;1;"525385-558034";7;"Mus musculus"
"Gene_000842";"lncRNA";31499;5;"213833-218835";17;"Homo sapiens"
"Gene_000843";"rRNA";23121;1;"343728-375699";11;"Sus scrofa"
"Gene_000844";"snRNA";33177;5;"9008-44216";19;"Bos taurus"
"Gene_000845";"tRNA";49064;3;"20681-36012";5;"Bos taurus"
"Gene_000846";"rRNA";16473;1;"774244-816829";15;"Sus scrofa"
"Gene_000847";"tRNA";32015;5;"698865-743434";4;"Mus musculus"
"Gene_000848";"tRNA";1517;4;"188685-225386";11;"Sus scrofa"
"Gene_000849";"tRNA";17889;3;"453832-498542";8;"Homo sapiens"
"Gene_000850";"tRNA";12012;2;"23748-63272";17;"Bos taurus"
"Gene_000851";"snRNA";43085;2;"297970-343697";9;"Bos taurus"
"Gene_000852";"tRNA";15395;5;"301854-305656";14;"Mus musculus"
"Gene_000853";"rRNA";34978;5;"545030-572909";7;"Sus scrofa"
"Gene_000854";"snRNA";47658;4;"536532-554450";20;"Sus scrofa"
"Gene_000855";"snRNA";21503;3;"808858-818861";5;"Homo sapiens"
"Gene_000856";"tRNA";29071;3;"303386-333410";12;"Bos taurus"
"Gene_000857";"protein_coding";10517;3;"15844-34025";19;"Homo sapiens"
"Gene_000858";"protein_coding";48162;3;"469559-501489";12;"Mus musculus"
"Gene_000859";"tRNA";41308;5;"868611-869830";14;"Mus musculus"
"Gene_000860";"lncRNA";45017;5;"303246-326892";20;"Mus musculus"
"Gene_000861";"lncRNA";7727;4;"330418-374768";11;"Homo sapiens"
"Gene_000862";"protein_coding";14668;5;"328862-367493";3;"Bos taurus"
"Gene_000863";"protein_coding";28469;2;"957230-988524";7;"Sus scrofa"
"Gene_000864";"snRNA";782;3;"54760-77814";9;"Homo sapiens"
"Gene_000865";"protein_coding";7383;2;"192210-227387";6;"Sus scrofa"
"Gene_000866";"lncRNA";10381;2;"817639-832827";11;"Mus musculus"
"Gene_000867";"lncRNA";2444;4;"214478-221666";20;"Homo sapiens"
"Gene_000868";"rRNA";17728;5;"983040-996122";5;"Homo sapiens"
"Gene_000869";"protein_coding";4473;4;"673223-680578";19;"Mus musculus"
"Gene_000870";"rRNA";4885;3;"432763-464759";12;"Sus scrofa"
"Gene_000871";"protein_coding";38248;4;"433342-445791";14;"Bos taurus"
"Gene_000872";"lncRNA";5282;3;"568514-569673";8;"Homo sapiens"
"Gene_000873";"rRNA";15951;4;"887552-932111";7;"Bos taurus"
"Gene_000874";"rRNA";12699;4;"718581-759350";4;"Homo sapiens"
"Gene_000875";"tRNA";25575;1;"886506-923334";18;"Homo sapiens"
"Gene_000876";"tRNA";23387;4;"270991-308307";13;"Mus musculus"
"Gene_000877";"snRNA";18863;2;"813240-831169";4;"Mus musculus"
"Gene_000878";"snRNA";28491;1;"563412-574924";10;"Homo sapiens"
"Gene_000879";"rRNA";40987;4;"625438-636086";16;"Homo sapiens"
"Gene_000880";"protein_coding";3286;1;"239845-272600";17;"Mus musculus"
"Gene_000881";"lncRNA";25272;1;"699945-703274";10;"Mus musculus"
"Gene_000882";"rRNA";28906;1;"99639-111493";10;"Sus scrofa"
"Gene_000883";"rRNA";17643;5;"269777-281112";17;"Sus scrofa"
"Gene_000884";"snRNA";34955;4;"873820-880105";11;"Homo sapiens"
"Gene_000885";"protein_coding";38206;2;"293718-327565";3;"Sus scrofa"
"Gene_000886";"snRNA";45051;1;"676098-719040";15;"Bos taurus"
"Gene_000887";"lncRNA";48671;4;"861384-904892";6;"Mus musculus"
"Gene_000888";"protein_coding";41649;2;"350659-391368";17;"Sus scrofa"
"Gene_000889";"rRNA";18800;4;"958997-961212";3;"Homo sapiens"
"Gene_000890";"tRNA";3669;4;"108014-153064";2;"Mus musculus"
"Gene_000891";"lncRNA";33712;3;"365701-371906";7;"Bos taurus"
"Gene_000892";"tRNA";25528;4;"340262-362315";7;"Sus scrofa"
"Gene_000893";"snRNA";1012;4;"855209-855867";2;"Homo sapiens"
"Gene_000894";"tRNA";1740;4;"689814-735059";4;"Sus scrofa"
"Gene_000895";"rRNA";12237;1;"339603-373921";2;"Sus scrofa"
"Gene_000896";"lncRNA";14592;2;"781780-802398";4;"Mus musculus"
"Gene_000897";"snRNA";15797;3;"52879-91196";12;"Mus musculus"
"Gene_000898";"lncRNA";4439;1;"799499-846316";2;"Sus scrofa"
"Gene_000899";"lncRNA";29295;5;"84437-108307";13;"Mus musculus"
"Gene_000900";"snRNA";45506;1;"217856-226659";16;"Sus scrofa"
"Gene_000901";"lncRNA";47448;5;"422690-434280";14;"Sus scrofa"
"Gene_000902";"lncRNA";28992;2;"845413-885288";14;"Mus musculus"
"Gene_000903";"rRNA";49400;2;"752755-779479";9;"Sus scrofa"
"Gene_000904";"rRNA";8632;3;"105867-133003";9;"Homo sapiens"
"Gene_000905";"tRNA";44687;2;"252780-261660";13;"Sus scrofa"
"Gene_000906";"protein_coding";32539;5;"939620-941404";17;"Bos taurus"
"Gene_000907";"snRNA";32564;3;"330016-375530";11;"Homo sapiens"
"Gene_000908";"tRNA";18959;3;"614817-626341";17;"Mus musculus"
"Gene_000909";"rRNA";48275;5;"659967-703106";14;"Sus scrofa"
"Gene_000910";"lncRNA";34177;1;"439300-460269";2;"Mus musculus"
"Gene_000911";"protein_coding";29113;2;"746550-762764";11;"Mus musculus"
"Gene_000912";"protein_coding";20083;2;"382516-409303";9;"Mus musculus"
"Gene_000913";"snRNA";1202;2;"728239-737688";14;"Mus musculus"
"Gene_000914";"snRNA";31575;3;"171414-173867";18;"Homo sapiens"
"Gene_000915";"rRNA";48623;1;"418459-431621";9;"Bos taurus"
"Gene_000916";"lncRNA";43698;5;"995881-1027885";15;"Mus musculus"
"Gene_000917";"tRNA";17996;2;"693404-696767";2;"Sus scrofa"
"Gene_000918";"snRNA";21818;1;"529712-555909";12;"Homo sapiens"
"Gene_000919";"snRNA";23886;4;"142431-185200";14;"Sus scrofa"
"Gene_000920";"protein_coding";7296;1;"147591-164269";15;"Bos taurus"
"Gene_000921";"rRNA";47704;4;"326330-332953";8;"Mus musculus"
"Gene_000922";"tRNA";40278;3;"502173-529609";19;"Mus musculus"
"Gene_000923";"protein_coding";33311;2;"273697-315386";20;"Bos taurus"
"Gene_000924";"tRNA";47654;3;"982084-1020262";8;"Bos taurus"
"Gene_000925";"protein_coding";177;4;"419880-449319";18;"Mus musculus"
"Gene_000926";"lncRNA";22157;1;"89158-127396";2;"Mus musculus"
"Gene_000927";"protein_coding";5335;2;"820965-864085";18;"Sus scrofa"
"Gene_000928";"lncRNA";4601;3;"157665-191903";20;"Mus musculus"
"Gene_000929";"rRNA";8313;1;"267513-267943";17;"Sus scrofa"
"Gene_000930";"lncRNA";46723;2;"402472-437011";11;"Bos taurus"
"Gene_000931";"protein_coding";49143;5;"47514-72692";9;"Bos taurus"
"Gene_000932";"tRNA";35870;1;"492755-542245";12;"Bos taurus"
"Gene_000933";"rRNA";4122;5;"201104-201332";11;"Bos taurus"
"Gene_000934";"lncRNA";2208;4;"849125-897470";6;"Sus scrofa"
"Gene_000935";"protein_coding";12912;5;"364901-371255";10;"Bos taurus"
"Gene_000936";"snRNA";9304;5;"487421-513638";18;"Bos taurus"
"Gene_000937";"lncRNA";1108;4;"338324-367865";1;"Bos taurus"
"Gene_000938";"protein_coding";47341;1;"793943-826085";13;"Sus scrofa"
"Gene_000939";"snRNA";41587;5;"74326-81437";5;"Homo sapiens"
"Gene_000940";"rRNA";30684;1;"827396-847043";20;"Mus musculus"
"Gene_000941";"snRNA";41936;5;"770563-792282";11;"Sus scrofa"
"Gene_000942";"rRNA";41944;1;"787185-802319";18;"Sus scrofa"
"Gene_000943";"lncRNA";22657;2;"922177-924335";15;"Bos taurus"
"Gene_000944";"tRNA";9031;1;"199246-231731";18;"Sus scrofa"
"Gene_000945";"rRNA";11767;4;"945339-969190";6;"Homo sapiens"
"Gene_000946";"lncRNA";13127;3;"933946-951090";20;"Bos taurus"
"Gene_000947";"snRNA";21998;5;"779665-818182";15;"Sus scrofa"
"Gene_000948";"protein_coding";7027;1;"230188-258245";19;"Bos taurus"
"Gene_000949";"snRNA";46595;4;"649681-650636";18;"Homo sapiens"
"Gene_000950";"snRNA";43026;4;"448860-498526";11;"Bos taurus"
"Gene_000951";"lncRNA";36808;5;"808794-838017";18;"Sus scrofa"
"Gene_000952";"tRNA";36869;1;"386373-404680";16;"Bos taurus"
"Gene_000953";"tRNA";45338;5;"743079-763764";7;"Homo sapiens"
"Gene_000954";"protein_coding";43797;2;"761955-803242";9;"Bos taurus"
"Gene_000955";"protein_coding";33277;5;"664234-684266";10;"Bos taurus"
"Gene_000956";"rRNA";34302;4;"45657-53576";12;"Mus musculus"
"Gene_000957";"tRNA";5518;5;"210128-215427";4;"Homo sapiens"
"Gene_000958";"rRNA";12261;2;"308412-346761";12;"Bos taurus"
"Gene_000959";"protein_coding";18044;1;"703693-704122";19;"Sus scrofa"
"Gene_000960";"tRNA";4390;5;"749967-761805";7;"Bos taurus"
"Gene_000961";"snRNA";46225;5;"755036-768259";4;"Homo sapiens"
"Gene_000962";"tRNA";24795;3;"131750-162653";6;"Bos taurus"
"Gene_000963";"snRNA";31874;4;"878848-927029";14;"Homo sapiens"
"Gene_000964";"tRNA";37830;3;"292554-320873";17;"Bos taurus"
"Gene_000965";"tRNA";31171;3;"187710-199951";7;"Sus scrofa"
"Gene_000966";"lncRNA";34897;1;"419657-451120";13;"Homo sapiens"
"Gene_000967";"rRNA";33884;5;"749532-760274";6;"Mus musculus"
"Gene_000968";"rRNA";32334;4;"186208-234024";12;"Sus scrofa"
"Gene_000969";"snRNA";18689;3;"343935-376441";10;"Homo sapiens"
"Gene_000970";"tRNA";12834;2;"214934-263244";3;"Homo sapiens"
"Gene_000971";"lncRNA";468;3;"73360-122073";20;"Sus scrofa"
"Gene_000972";"rRNA";11629;3;"675440-680352";20;"Homo sapiens"
"Gene_000973";"lncRNA";9516;2;"676460-704786";12;"Homo sapiens"
"Gene_000974";"rRNA";7948;1;"105231-127790";16;"Mus musculus"
"Gene_000975";"protein_coding";33652;1;"542087-548891";6;"Bos taurus"
"Gene_000976";"snRNA";17683;5;"223376-244410";18;"Sus scrofa"
"Gene_000977";"lncRNA";161;2;"562982-592801";13;"Homo sapiens"
"Gene_000978";"snRNA";40981;1;"543033-574302";16;"Mus musculus"
"Gene_000979";"rRNA";30716;4;"581771-593165";18;"Mus musculus"
"Gene_000980";"tRNA";20765;4;"424921-451045";1;"Homo sapiens"
"Gene_000981";"tRNA";29666;4;"395108-433203";11;"Homo sapiens"
"Gene_000982";"lncRNA";23285;1;"77037-110019";3;"Mus musculus"
"Gene_000983";"protein_coding";32048;3;"336685-355279";16;"Homo sapiens"
"Gene_000984";"lncRNA";44793;3;"886886-904765";4;"Mus musculus"
"Gene_000985";"snRNA";9223;4;"739984-752666";20;"Mus musculus"
"Gene_000986";"tRNA";35845;4;"344512-371074";1;"Homo sapiens"
"Gene_000987";"tRNA";29491;4;"984728-1004315";17;"Homo sapiens"
"Gene_000988";"tRNA";44623;4;"595766-615760";13;"Bos taurus"
"Gene_000989";"tRNA";42981;4;"714188-725263";4;"Mus musculus"
"Gene_000990";"lncRNA";11490;4;"620756-647385";4;"Mus musculus"
"Gene_000991";"tRNA";29836;4;"358508-390910";5;"Mus musculus"
"Gene_000992";"rRNA";41750;4;"651418-655992";6;"Bos taurus"
"Gene_000993";"protein_coding";17669;3;"778737-792156";19;"Mus musculus"
"Gene_000994";"rRNA";17704;3;"153245-201169";8;"Mus musculus"
"Gene_000995";"rRNA";31168;5;"117488-125750";4;"Bos taurus"
"Gene_000996";"lncRNA";8420;1;"977046-997232";4;"Homo sapiens"
"Gene_000997";"protein_coding";49500;5;"9623-49715";6;"Mus musculus"
"Gene_000998";"lncRNA";30636;3;"786076-800758";3;"Bos taurus"
"Gene_000999";"protein_coding";8261;2;"583945-615495";17;"Mus musculus"
"Gene_001000";"tRNA";37013;3;"964315-987257";18;"Homo sapiens"
"Gene_001001";"protein_coding";47918;4;"377001-415948";18;"Homo sapiens"
"Gene_001002";"lncRNA";19225;4;"677204-680709";18;"Homo sapiens"
"Gene_001003";"rRNA";30819;4;"869463-918741";20;"Mus musculus"
"Gene_001004";"snRNA";19020;5;"62575-70276";13;"Sus scrofa"
"Gene_001005";"protein_coding";32860;3;"529200-536089";2;"Sus scrofa"
"Gene_001006";"snRNA";45796;4;"812410-856326";12;"Sus scrofa"
"Gene_001007";"rRNA";7969;3;"351755-366090";15;"Mus musculus"
"Gene_001008";"lncRNA";46149;5;"932416-975980";6;"Homo sapiens"
"Gene_001009";"lncRNA";8985;2;"691952-714311";1;"Sus scrofa"
"Gene_001010";"tRNA";44721;1;"934494-939901";20;"Sus scrofa"
"Gene_001011";"tRNA";38094;5;"288382-334335";6;"Mus musculus"
"Gene_001012";"snRNA";37095;4;"830385-859300";1;"Mus musculus"
"Gene_001013";"snRNA";6885;2;"462120-503004";3;"Homo sapiens"
"Gene_001014";"tRNA";44329;4;"937280-984165";13;"Mus musculus"
"Gene_001015";"tRNA";48453;4;"552362-590439";8;"Mus musculus"
"Gene_001016";"tRNA";42945;4;"950995-953265";2;"Bos taurus"
"Gene_001017";"rRNA";18100;1;"48074-67021";3;"Bos taurus"
"Gene_001018";"snRNA";21774;1;"876927-896071";19;"Bos taurus"
"Gene_001019";"snRNA";16079;5;"644478-659506";15;"Homo sapiens"
"Gene_001020";"protein_coding";10687;5;"927310-949274";1;"Bos taurus"
"Gene_001021";"snRNA";43837;4;"995214-1024880";4;"Homo sapiens"
"Gene_001022";"snRNA";43640;3;"477137-509212";19;"Homo sapiens"
"Gene_001023";"lncRNA";27460;2;"771998-774605";16;"Mus musculus"
"Gene_001024";"snRNA";47280;2;"80901-121535";3;"Bos taurus"
"Gene_001025";"lncRNA";25084;4;"378163-378647";1;"Bos taurus"
"Gene_001026";"protein_coding";38628;3;"960229-995730";1;"Bos taurus"
"Gene_001027";"snRNA";11265;2;"355096-362758";6;"Bos taurus"
"Gene_001028";"tRNA";2147;4;"530076-559933";14;"Sus scrofa"
"Gene_001029";"lncRNA";12485;3;"600367-610993";1;"Mus musculus"
"Gene_001030";"protein_coding";30393;5;"81242-122765";8;"Bos taurus"
"Gene_001031";"lncRNA";20651;2;"639134-679404";19;"Mus musculus"
"Gene_001032";"tRNA";44720;4;"375421-375833";14;"Sus scrofa"
"Gene_001033";"rRNA";37822;1;"705262-723719";5;"Mus musculus"
"Gene_001034";"lncRNA";44114;4;"16370-58025";3;"Bos taurus"
"Gene_001035";"lncRNA";14370;1;"193100-199691";5;"Sus scrofa"
"Gene_001036";"lncRNA";35511;3;"752543-784048";15;"Mus musculus"
"Gene_001037";"rRNA";44516;5;"759189-779385";3;"Sus scrofa"
"Gene_001038";"snRNA";40921;3;"974686-1014814";2;"Sus scrofa"
"Gene_001039";"tRNA";41899;2;"230970-269368";12;"Homo sapiens"
"Gene_001040";"snRNA";4761;2;"68522-69278";6;"Homo sapiens"
"Gene_001041";"protein_coding";24723;3;"794557-833913";12;"Mus musculus"
"Gene_001042";"protein_coding";42027;2;"162826-185933";18;"Homo sapiens"
"Gene_001043";"rRNA";36059;2;"769248-792335";14;"Mus musculus"
"Gene_001044";"lncRNA";14612;2;"3120-35024";12;"Homo sapiens"
"Gene_001045";"snRNA";22496;3;"618921-644141";14;"Bos taurus"
"Gene_001046";"rRNA";3197;1;"244301-254033";11;"Bos taurus"
"Gene_001047";"rRNA";36503;2;"793481-843028";8;"Bos taurus"
"Gene_001048";"snRNA";35775;2;"200407-219448";8;"Sus scrofa"
"Gene_001049";"lncRNA";18515;1;"34520-77290";2;"Homo sapiens"
"Gene_001050";"lncRNA";41997;2;"727576-764007";6;"Mus musculus"
"Gene_001051";"tRNA";8217;2;"437592-487337";5;"Mus musculus"
"Gene_001052";"tRNA";15496;5;"706583-738201";10;"Sus scrofa"
"Gene_001053";"snRNA";12191;3;"151247-151618";1;"Homo sapiens"
"Gene_001054";"snRNA";47582;5;"84889-119749";8;"Sus scrofa"
"Gene_001055";"tRNA";40907;2;"642314-683443";9;"Mus musculus"
"Gene_001056";"rRNA";34310;3;"92464-136830";20;"Homo sapiens"
"Gene_001057";"snRNA";38820;1;"960643-997474";9;"Homo sapiens"
"Gene_001058";"tRNA";22506;4;"217102-256358";6;"Homo sapiens"
"Gene_001059";"snRNA";14783;5;"599093-599176";4;"Bos taurus"
"Gene_001060";"lncRNA";23247;5;"537461-574963";10;"Sus scrofa"
"Gene_001061";"protein_coding";7646;2;"26410-32901";14;"Homo sapiens"
"Gene_001062";"snRNA";33229;4;"157180-165373";7;"Mus musculus"
"Gene_001063";"rRNA";33807;1;"576888-601011";19;"Sus scrofa"
"Gene_001064";"tRNA";19548;5;"263965-265052";5;"Homo sapiens"
"Gene_001065";"tRNA";27181;4;"327748-371904";16;"Homo sapiens"
"Gene_001066";"rRNA";39770;5;"159411-166114";16;"Mus musculus"
"Gene_001067";"tRNA";13519;1;"271069-297165";17;"Sus scrofa"
"Gene_001068";"lncRNA";42709;4;"455534-499702";20;"Sus scrofa"
"Gene_001069";"rRNA";859;3;"396663-427708";10;"Homo sapiens"
"Gene_001070";"lncRNA";3492;2;"492095-523245";6;"Mus musculus"
"Gene_001071";"protein_coding";28542;5;"901353-921219";16;"Bos taurus"
"Gene_001072";"rRNA";1361;3;"213117-253679";8;"Mus musculus"
"Gene_001073";"rRNA";31993;1;"204055-238487";2;"Sus scrofa"
"Gene_001074";"tRNA";17444;4;"32204-59236";3;"Mus musculus"
"Gene_001075";"rRNA";46854;4;"214985-259704";5;"Mus musculus"
"Gene_001076";"protein_coding";28639;3;"328791-356684";20;"Mus musculus"
"Gene_001077";"tRNA";10824;5;"936491-945364";3;"Bos taurus"
"Gene_001078";"rRNA";17519;4;"520563-550964";15;"Mus musculus"
"Gene_001079";"snRNA";28464;2;"41585-86513";1;"Homo sapiens"
"Gene_001080";"protein_coding";35363;3;"62089-91862";10;"Bos taurus"
"Gene_001081";"protein_coding";24104;1;"114411-125737";1;"Homo sapiens"
"Gene_001082";"rRNA";22605;2;"399604-422283";5;"Mus musculus"
"Gene_001083";"protein_coding";21180;1;"810097-812066";1;"Homo sapiens"
"Gene_001084";"snRNA";42210;4;"54559-92725";7;"Bos taurus"
"Gene_001085";"tRNA";39993;2;"109744-147543";6;"Sus scrofa"
"Gene_001086";"lncRNA";47709;1;"80712-89925";11;"Mus musculus"
"Gene_001087";"snRNA";33903;3;"417877-429068";19;"Sus scrofa"
"Gene_001088";"protein_coding";19315;5;"821611-838648";16;"Sus scrofa"
"Gene_001089";"lncRNA";32793;1;"860349-875233";14;"Mus musculus"
"Gene_001090";"rRNA";37238;2;"571670-592505";5;"Homo sapiens"
"Gene_001091";"protein_coding";10146;4;"514952-528720";15;"Mus musculus"
"Gene_001092";"snRNA";17127;4;"886438-921090";8;"Mus musculus"
"Gene_001093";"protein_coding";25444;2;"141920-172618";9;"Mus musculus"
"Gene_001094";"tRNA";43520;1;"26714-50786";3;"Homo sapiens"
"Gene_001095";"protein_coding";10429;5;"455143-486596";1;"Bos taurus"
"Gene_001096";"snRNA";9246;4;"367970-382164";11;"Sus scrofa"
"Gene_001097";"tRNA";18811;2;"69908-95637";6;"Bos taurus"
"Gene_001098";"snRNA";8896;1;"390454-404204";5;"Sus scrofa"
"Gene_001099";"protein_coding";6504;1;"136-33658";6;"Homo sapiens"
"Gene_001100";"rRNA";6129;4;"544017-593741";4;"Bos taurus"
"Gene_001101";"snRNA";31767;4;"981509-982655";20;"Mus musculus"
"Gene_001102";"snRNA";19451;1;"104425-107700";18;"Homo sapiens"
